org_key,parent_key,desc1,desc2,city,state,status
AYSONational,,AYSO Natonal,,,,
AYSOS01,AYSONational,AYSO Section 01,,,,
AYSOS02,AYSONational,AYSO Section 02,,,,
AYSOS03,AYSONational,AYSO Section 03,,,,
AYSOS04,AYSONational,AYSO Section 04,,,,
AYSOS05,AYSONational,AYSO Section 05,,,,
AYSOS06,AYSONational,AYSO Section 06,,,,
AYSOS07,AYSONational,AYSO Section 07,,,,
AYSOS08,AYSONational,AYSO Section 08,,,,
AYSOS09,AYSONational,AYSO Section 09,,,,
AYSOS10,AYSONational,AYSO Section 10,,,,
AYSOS11,AYSONational,AYSO Section 11,,,,
AYSOS12,AYSONational,AYSO Section 12,,,,
AYSOS13,AYSONational,AYSO Section 13,,,,
AYSOS14,AYSONational,AYSO Section 14,,,,
AYSOS90,AYSONational,AYSO Section 90,,,,
,,,,,,
AYSOA01A,AYSOS01,AYSO Area 01A,,,,
AYSOA01B,AYSOS01,AYSO Area 01B,,,,
AYSOA01C,AYSOS01,AYSO Area 01C,,,,
AYSOA01D,AYSOS01,AYSO Area 01D,,,,
AYSOA01E,AYSOS01,AYSO Area 01E,,,,
AYSOA01F,AYSOS01,AYSO Area 01F,,Torrance,CA,Active
AYSOA01G,AYSOS01,AYSO Area 01G,,,CA,Active
AYSOA01H,AYSOS01,AYSO Area 01H,,,,
AYSOA01I,AYSOS01,AYSO Area 01I,,,,
AYSOA01J,AYSOS01,AYSO Area 01J,,,,
AYSOA01K,AYSOS01,AYSO Area 01K,,,,
AYSOA01L,AYSOS01,AYSO Area 01L,,,,
AYSOA01M,AYSOS01,AYSO Area 01M,,,,
AYSOA01N,AYSOS01,AYSO Area 01N,,,,
AYSOA01O,AYSOS01,AYSO Area 01O,,,,
AYSOA01P,AYSOS01,AYSO Area 01P,,Los Angeles,CA,Active
AYSOA01Q,AYSOS01,AYSO Area 01Q,,,,
AYSOA01R,AYSOS01,AYSO Area 01R,,,CA,Active
AYSOA01S,AYSOS01,AYSO Area 01S,,,,
AYSOA01T,AYSOS01,AYSO Area 01T,,,,
AYSOA01U,AYSOS01,AYSO Area 01U,,,CA,Active
AYSOA01V,AYSOS01,AYSO Area 01V,,,,
AYSOA01W,AYSOS01,AYSO Area 01W,,,,
AYSOA01X,AYSOS01,AYSO Area 01X,,,,
AYSOA01Y,AYSOS01,AYSO Area 01Y,,,,
AYSOA01Z,AYSOS01,AYSO Area 01Z,,,,
,,,,,,
AYSOA02A,AYSOS02,AYSO Area 02A,,,CA,Active
AYSOA02B,AYSOS02,AYSO Area 02B,,San Bruno,CA,Active
AYSOA02C,AYSOS02,AYSO Area 02C,,Walnut Creek,CA,Active
AYSOA02D,AYSOS02,AYSO Area 02D,,,,
AYSOA02E,AYSOS02,AYSO Area 02E,,,,
AYSOA02F,AYSOS02,AYSO Area 02F,,,,
AYSOA02G,AYSOS02,AYSO Area 02G,,,,
AYSOA02H,AYSOS02,AYSO Area 02H,,,,
AYSOA02I,AYSOS02,AYSO Area 02I,,,,
AYSOA02J,AYSOS02,AYSO Area 02J,,,,
AYSOA02K,AYSOS02,AYSO Area 02K,,,,
AYSOA02L,AYSOS02,AYSO Area 02L,,,,
AYSOA02M,AYSOS02,AYSO Area 02M,,,,
AYSOA02N,AYSOS02,AYSO Area 02N,,,,
AYSOA02O,AYSOS02,AYSO Area 02O,,,,
AYSOA02P,AYSOS02,AYSO Area 02P,,,,
AYSOA02Q,AYSOS02,AYSO Area 02Q,,,,
AYSOA02R,AYSOS02,AYSO Area 02R,,,,
AYSOA02S,AYSOS02,AYSO Area 02S,,Albany,OR,Active
AYSOA02T,AYSOS02,AYSO Area 02T,,,,
AYSOA02U,AYSOS02,AYSO Area 02U,,,,
AYSOA02V,AYSOS02,AYSO Area 02V,,,,
AYSOA02W,AYSOS02,AYSO Area 02W,,,,
AYSOA02X,AYSOS02,AYSO Area 02X,,,,
AYSOA02Y,AYSOS02,AYSO Area 02Y,,,,
AYSOA02Z,AYSOS02,AYSO Area 02Z,,,,
,,,,,,
AYSOA03A,AYSOS03,AYSO Area 03A,,,,
AYSOA03B,AYSOS03,AYSO Area 03B,,,,
AYSOA03C,AYSOS03,AYSO Area 03C,,,,
AYSOA03D,AYSOS03,AYSO Area 03D,,,,
AYSOA03E,AYSOS03,AYSO Area 03E,,,,
AYSOA03F,AYSOS03,AYSO Area 03F,,,,
,,,,,,
,,,,,,
AYSOA05B,AYSOS05,AYSO Area 05B,,,,
AYSOA05C,AYSOS05,AYSO Area 05C,,,AL,
AYSOA05D,AYSOS05,AYSO Area 05D,,,,
AYSOA05E,AYSOS05,AYSO Area 05E,,,,
AYSOA05F,AYSOS05,AYSO Area 05F,,,,
AYSOA05G,AYSOS05,AYSO Area 05G,,,,
